No,Journal,n,cites,h5,h5med,IF2013,IF5,IM,SNIP13,IPP13,SJR13
98,TRENDS COGN SCI,60,18076,92,138,21.147,18.92,2.983,6.032,19.291,11.395
19,BRAIN,272,44457,102,137,10.226,10.846,2.125,3.142,10.339,6.301
85,NAT STRUCT MOL BIOL,182,25691,93,137,11.633,12.338,3.989,2.444,10.928,12.025
93,PLOS MED,118,16975,87,137,14,17.945,3.72,3.343,7.956,5.166
11,ANNU REV NEUROSCI,24,13345,55,136,22.66,28.613,1.542,6.396,22.629,19.662
96,STROKE,653,56480,103,136,6.018,6.757,1.17,2.713,6.334,3.893
45,GUT,181,33059,97,132,13.319,11.483,4.409,3.403,10.332,5.584
87,NEUROLOGY,530,76845,108,132,8.303,8.375,2.149,2.382,6.596,3.389
25,CELL METAB,153,15636,90,131,16.747,17.878,3.052,2.857,13.339,10.286
34,DEV CELL,203,21439,89,131,10.366,13.012,2.433,2.53,10.833,9.224
6,ANN NEUROL,178,33670,93,130,11.91,11.353,1.893,3.398,10.756,5.739
28,CHEST,435,45651,93,128,7.132,6.916,1.775,2.929,6.92,3.432
3,AM J GASTROENTEROL,184,28995,92,126,9.213,8.048,2.592,2.697,7.816,4.072
16,BIOL PSYCHIAT,239,40687,100,126,9.472,10.347,2.883,2.331,9.39,6.062
69,MOL PSYCHIATR,132,13902,86,126,15.147,14.196,3.5,2.693,11.065,6.535
37,EMBO J,225,76176,99,125,10.748,10.168,2.951,1.871,8.726,8.937
57,J HEPATOL,304,24551,90,124,10.401,9.557,2.329,2.637,8.226,3.695
49,INT J CANCER,634,46009,87,122,5.007,5.497,1.661,1.881,5.836,2.967
95,SCI TRANSL MED,216,9222,88,122,14.414,12.701,3.134,2.97,12.602,8.395
35,DIABETES,425,49801,93,120,8.474,9.105,2.212,2.132,7.942,4.749
1,ACTA NEUROPATHOL,120,12284,72,119,9.777,8.854,2.717,2.413,9.399,5.72
48,IMMUNOL REV,108,13018,86,119,12.909,12.238,2.593,2.98,11.808,8.712
33,CURR OPIN CELL BIOL,100,14069,77,118,8.736,10.843,2.16,2.206,9.514,8.519
24,CELL HOST MICROBE,122,7622,76,117,12.194,13.573,2.5,2.103,10.153,8.174
26,CELL RES,80,8083,64,116,11.981,11.078,3.95,1.545,6.519,4.841
38,ENDOCR REV,25,13623,68,115,19.358,24.124,3.4,6.474,19.321,8.699
60,J VIROL,1306,99113,90,115,4.648,4.855,1.453,1.255,4.9,3.492
43,GENOME BIOL,173,19687,79,114,10.465,10.632,1.601,2.32,10.297,8.829
8,ANNU REV CELL DEV BI,22,9224,57,112,20.241,19.672,0.864,4.777,20.105,19.686
12,ANNU REV PHARMACOL,26,7373,48,111,18.523,19.845,6.731,5.666,21.295,10.788
14,BEHAV BRAIN SCI,21,7017,34,111,14.962,22.821,4.476,1.06,3.518,1.838
22,CANCER-AM CANCER SOC,520,62604,85,111,4.901,5.445,1.008,2.046,5.409,2.956
77,NAT REV CLIN ONCOL,51,3523,68,109,15.696,14.389,2.863,1.904,7.395,4.023
83,NAT REV NEUROL,57,3257,64,107,14.103,14.785,2.719,2.379,8,3.463
100,TRENDS NEUROSCI,73,18523,76,106,12.902,14.345,2.534,3.393,13.309,10.184
13,ANNU REV PHYSIOL,30,8246,53,104,14.696,18.785,6.3,4.971,18.608,8.262
10,ANNU REV MED,34,5560,54,100,15.478,13.298,4.941,4.47,14.663,8.021
97,TRENDS CELL BIOL,75,11144,72,100,12.314,11.742,1.947,2.71,11.754,10.198
2,ALZHEIMERS DEMENT,83,3821,53,99,17.472,10.035,2.373,4.251,13.075,5.814
94,PROG NEUROBIOL,51,11310,64,96,10.301,10.57,1.745,2.801,9.988,5.234
79,NAT REV ENDOCRINOL,56,2753,63,94,12.958,11.843,1.804,1.676,5.478,2.063
99,TRENDS IMMUNOL,75,8638,67,93,12.031,10.339,2.107,2.412,10.435,7.5
67,MOL ASPECTS MED,83,3486,48,80,10.302,11.214,2.422,2.815,10,3.87
