No,Journal,n,cites,h5,h5med,IF,IF5,IM,CS,SNIP,SJR,conserv,ecol,review,bes,oa,marfreshw,mysamp,hlth,gen,genet,palaeo,energ,sust
32,FUNCT ECOL,237,15830,57,76,5.037,5.827,1.190,5.35,1.768,2.693,,1,,1,,,,,,,,,
112,ENERG POLICY,696,47238,91,123,4.880,5.458,1.119,5.45,1.786,1.988,,,,,,,,,,,,1,1
123,QUAT SCI REV,397,24028,62,80,4.641,5.350,0.887,4.92,1.798,2.786,,,,,,,,,,,1,,
124,ECOSYSTEMS,116,9915,40,59,4.555,4.951,1.431,4.52,1.429,2.040,,1,,,,,,,,,,,
72,ECOL INDIC,870,18621,77,111,4.490,4.863,1.005,5.06,1.813,1.352,,1,,,,,,,,,,,
13,BIOL CONSERV,403,30256,71,103,4.451,5.163,0.973,4.86,1.836,2.242,1,,,,,,,,,,,,1
16,ECOL APPL,169,21600,57,72,4.378,4.999,0.799,4.40,1.557,2.116,1,1,,,,,1,,,,,,1
23,J ANIM ECOL,142,16556,51,68,4.364,5.017,1.965,4.40,1.602,2.506,,1,,1,,,,,,,,,
62,LANDSCAPE ECOL,145,9360,47,63,4.349,4.992,0.607,4.41,1.474,1.821,,1,,,,,,,,,,,
66,LIMNOL OCEANOGR,218,29814,42,50,4.325,4.402,1.193,4.20,1.380,1.961,,,,,,1,,,,,,,
10,P ROY SOC B-BIOL SCI,540,53240,86,112,4.304,5.386,0.839,4.72,1.589,2.722,,,,,,,,,1,,1,,1
12,ECOLOGY,276,61936,62,82,4.285,5.460,0.895,4.06,1.566,2.409,,1,,,,,,,,,,,
93,CURR OP ENV SUST,103,4541,54,82,4.258,6.787,1.786,5.65,1.807,1.980,,,,,,,,,,,,1,1
55,AMBIO,97,8464,47,73,4.103,4.674,1.918,4.76,1.668,1.686,1,,,,,,,,,,,1,1
64,GLOBAL PLANET CHANGE,169,10017,46,66,4.100,4.746,0.959,4.65,1.549,1.868,,,,,,,,,,,,,1
21,DIVERS DISTRIB,149,8157,47,63,4.092,4.948,1.034,4.93,1.643,2.278,,1,,,,,,,,,1,,
107,SCI REP,17152,302086,158,202,4.011,4.525,0.679,4.29,1.240,1.414,,,,,,,,,1,,1,1,1
73,J BIOGEOGR,229,15971,47,60,3.884,4.639,0.803,4.00,1.511,2.009,,1,,,,,,,,,1,,
15,AM NAT,151,28666,43,59,3.855,4.058,1.311,3.81,1.368,2.531,,1,,,,,,,,,,,
70,MAR POLLUT BULL,885,31308,75,110,3.782,4.349,0.868,4.01,1.305,1.215,,,,,,1,,,,,,,
60,CORAL REEFS,108,7312,33,45,3.631,3.551,0.583,2.89,0.954,1.463,,,,,,1,,,,,,,
67,OIKOS,163,2197,48,63,3.468,3.765,0.994,3.68,1.337,2.078,,1,,,,,1,,,,,,
71,FRESHW BIOL,123,15013,41,49,3.404,3.597,1.374,3.72,1.333,1.671,,,,,,1,,,,,,,
85,ICES J MAR SCI,214,11167,49,70,3.367,3.402,1.173,3.22,1.271,1.591,,,,,,1,1,,,,,,
77,BIOL LETT,209,9783,44,52,3.323,3.484,0.517,3.31,1.228,1.924,,,,,,,,,1,,1,,
37,BIODIV CONSERV,193,10975,41,54,3.142,3.295,0.813,3.09,1.340,1.236,1,,,,,,,,,,,,
35,FOR ECOL MANAG,610,33961,58,78,3.126,3.601,0.779,3.51,1.478,1.430,,1,,,,,,,,,,,
25,ANIM CONSERV,48,3282,29,35,3.048,3.271,1.604,2.38,1.088,1.250,1,,,,,,,,,,,,
86,J EXP BIOL,513,32933,55,71,3.017,3.333,0.750,2.41,1.221,1.482,,,,,,,,,,,,,
38,BIOTROPICA,92,6342,26,34,2.989,2.721,0.967,2.79,1.174,1.142,,1,,,,,,,,,,,
57,J VEG SCI,102,8102,32,44,2.944,3.392,0.471,2.98,1.183,1.411,,1,,,,,,,,,,,
51,AQUAT CONSERV,134,3632,30,43,2.935,2.991,0.657,2.92,1.195,1.250,1,,,,,1,1,,,,,,
69,OECOLOGIA,290,33263,44,55,2.915,3.323,0.586,3.21,1.205,1.619,,1,,,,,,,,,,,
65,BIOL INVASIONS,250,9232,43,62,2.897,2.914,0.792,2.98,1.268,1.272,1,1,,,,,,,,,,,
128,J QUAT SCI,73,4409,26,33,2.846,3.037,0.507,3.04,1.021,1.591,,,,,,,,,,,,,
54,RESTOR ECOL,167,5513,32,47,2.826,2.888,0.898,2.92,1.114,1.183,1,1,,,,,,,,,,,1
91,CONDOR,56,5255,24,40,2.804,2.221,0.518,2.55,1.195,1.205,1,,,,,,,,,,,,
41,ORYX,80,3082,28,37,2.801,2.830,1.350,2.26,1.010,1.130,1,,,,,,,,,,,,
4,PLOS ONE,17879,650727,176,225,2.776,3.337,0.388,3.02,1.123,1.100,,,,,1,1,1,1,1,,1,1,1
40,ENVIRON CONSERV,44,3684,22,29,2.759,3.088,0.727,2.46,0.851,0.919,1,,,,,,,,,,,,1
34,ECOSPHERE,409,5935,42,58,2.746,3.217,0.452,3.09,1.062,1.474,,1,,,,,1,,,,,,1
102,FISHERIES,35,2413,25,36,2.740,3.176,0.743,0.84,0.677,0.553,,,,,,1,1,,,,,,
79,BEHAV ECOL,155,9769,42,56,2.695,3.226,1.135,2.74,1.219,1.600,,1,,,,,,,,,,,
88,AUK,83,6241,23,30,2.659,2.501,0.566,2.31,1.146,1.171,,1,,,,,,,,,,,
83,ECOL MODEL,252,18791,47,63,2.634,2.852,0.433,2.90,1.115,1.040,,1,,,,,1,,,,,,
96,PALAEONTOLOGY,58,4036,29,36,2.632,2.878,1.224,3.34,1.322,1.680,,,,,,,,,,,1,,
95,PALAEOGEOGR PALAEOCLIM PALAEOECOL,436,2921,41,50,2.616,2.898,0.690,2.79,1.143,1.322,,,,,,,,,,,1,,
94,CAN J FISH AQUAT SCI,208,17921,37,48,2.567,2.935,0.726,2.57,1.205,1.225,,,,,,1,1,,,,,,
53,BASIC APPL ECOL,74,3128,28,44,2.474,2.760,0.730,3.10,1.165,1.195,1,1,,,,1,1,,,,,,1
116,ENERG J,75,2880,34,44,2.456,2.739,0.813,2.30,1.196,1.372,,,,,,,,,,,,1,1
45,ECOL EVOL,1065,9915,48,67,2.415,2.855,0.384,2.67,1.000,1.256,,1,,,,,,,,,,,
78,BMC ECOL,58,1174,20,29,2.381,2.922,0.276,2.47,0.913,1.030,,1,,,1,,,,,,,,
131,BMJ OPEN,2510,26298,84,112,2.376,2.863,0.396,2.65,1.145,1.321,,,,,,,,1,,,,,
61,J EXP MAR BIOL ECOL,141,16282,31,42,2.365,2.308,0.681,2.38,0.983,1.063,,1,,,,1,1,,,,,,
42,MAR ECOL PROG SER,405,39386,42,56,2.359,2.715,0.657,2.52,0.968,1.284,,,,,,1,1,,,,,,
97,PALEOBIOLOGY,42,3874,21,31,2.354,2.839,0.524,2.63,0.910,1.412,,,,,,,,,,,1,,
76,PEERJ,1905,11911,61,84,2.353,2.700,0.339,2.50,0.920,1.037,,,,,1,,1,,1,,,,1
100,FISH RES,276,8829,35,46,2.343,2.363,0.507,2.19,1.185,1.023,,,,,,1,1,,,,,,
63,HYDROBIOLOGIA,435,24906,41,55,2.325,2.541,1.085,2.31,1.077,0.875,,1,,,,1,1,,,,,,
99,J SYST PALAEONTOL,60,1166,21,28,2.315,2.460,1.383,2.23,1.126,0.903,,,,,,,,,,,1,,
47,INSECT CONSERV DIV,52,1191,23,28,2.313,2.595,0.942,2.38,1.056,1.010,1,,,,,,,,,,,,
48,J NAT CONSERV,82,1513,25,34,2.289,2.476,0.634,2.49,1.032,0.879,1,,,,,,,,,,,,1
39,CONSERV GEN,116,4117,25,32,2.283,2.188,0.509,2.15,0.894,0.912,1,,,,,,,,,1,,,
119,J PLANT ECOL,89,1613,22,28,2.282,2.239,0.854,2.15,0.894,0.813,,1,,,,,,,,,,,
58,MAR BIOL,180,1818,33,41,2.134,2.537,0.483,2.19,0.872,1.019,,,,,,1,1,,,,,,
127,QUAT RES,82,7422,26,33,2.133,2.450,0.768,2.21,0.954,1.040,,,,,,,,,,,1,,
80,BEHAV ECOL SOCIOBIOL,188,12209,31,40,2.103,2.309,0.856,2.20,0.917,1.140,,1,,,,,,,,,,,
87,IBIS,72,4632,24,31,1.994,1.940,1.083,2.18,1.038,1.012,,1,,,,,,,,,,,
81,THEOR ECOL,36,723,16,19,1.986,2.011,0.333,1.85,0.672,1.252,,1,,,,,,,,,,,
126,QUAT INT,589,16042,44,53,1.952,2.378,1.494,2.19,1.006,1.159,,,,,,,,,,,1,,
56,J WILDL MANAG,156,11095,30,37,1.881,2.134,0.929,1.89,1.017,1.031,,1,,,,,,,,,,,
74,MAR FRESHW RES,188,5121,24,33,1.859,1.926,0.670,1.83,0.723,0.828,,,,,,1,1,,,,,,
50,PLANT ECOL,118,5850,26,33,1.789,1.901,0.254,2.06,0.860,0.864,,1,,,,,,,,,,,
46,BIRD CONSERV INTL,49,1046,15,27,1.725,1.541,0.735,1.76,1.101,0.863,1,,,,,,,,,,,,
89,ECOL COMPLEX,69,1743,22,28,1.713,2.226,0.522,1.98,0.994,0.708,,1,,,,,,,,,,,
101,FISH MANAG ECOL,49,1699,19,27,1.667,2.012,0.327,1.92,0.913,0.803,,,,,,1,1,,,,,,
98,J PALEONTOL,82,5132,22,36,1.584,1.649,0.659,1.42,0.799,0.728,,,,,,,,,,,1,,
92,ECOL RES,114,3329,22,27,1.546,1.618,0.675,1.65,0.851,0.684,,1,,,,,,,,,,,
82,POP ECOL,30,1216,18,22,1.512,1.725,0.733,1.78,0.899,1.011,,1,,,,,1,,,,,,
114,J RENEW SUST ENER,289,2678,27,34,1.511,1.467,0.377,1.70,0.694,0.448,,,,,,,,,,,,1,1
121,ECOL MANAGE RESTOR,29,701,17,26,1.436,NA,0.379,1.23,0.641,0.545,1,,,,,,,,,,,,1
52,AUSTRAL ECOL,92,4044,24,30,1.403,1.672,0.457,1.64,0.716,0.764,,1,,,,,,,,,,,
120,EMU,36,1072,14,20,1.351,1.224,1.028,1.39,0.593,0.681,1,1,,,,,,,,,,,
49,J INSECT CONSERV,69,2117,21,30,1.330,1.768,0.420,1.66,0.722,0.753,1,,,,,,,,,,,,
43,TROP CONSERV SCI,84,778,19,24,1.327,1.425,0.083,1.40,0.852,0.586,1,,,,1,,,,,,,,
44,WILDL RES,69,2630,20,25,1.244,1.579,0.188,1.73,0.856,0.802,,1,,,,,,,,,,,
75,EUR J WILDL RES,76,1769,21,26,1.184,1.503,0.289,1.42,0.675,0.579,,1,,,,,,,,,,,
90,PLANT ECOL DIVER,43,760,23,39,1.173,1.734,0.233,1.41,0.539,0.617,,1,,,,,,,,,,,
